"Title","PlayCount","ReleaseDate","Time","Png","Mp3","Mp4"
"Eternal Ring","2","2025-05-14","05:19:00","https://dn721303.ca.archive.org/0/items/eternal-ring_202505/Eternal%20Ring.png","https://ia601900.us.archive.org/23/items/eternal-ring_202505/Eternal%20Ring.mp3","https://www.youtube.com/watch?v=8N5d4tWz83E"
"Gravity Shift","0","2025-05-21","03:05:00","https://ia600800.us.archive.org/16/items/gravity-shift/Gravity%20Shift.png","https://dn721204.ca.archive.org/0/items/gravity-shift/Gravity%20Shift.mp3","https://www.youtube.com/watch?v=Dz22eaLBDO8"
"Unknown Side","0","2025-05-28","04:53:00","https://dn721502.ca.archive.org/0/items/unknown-side/Unknown%20Side.png","https://dn721502.ca.archive.org/0/items/unknown-side/Unknown%20Side.mp3","https://www.youtube.com/watch?v=E5KM-sjEDww&themeRefresh=1"
"Perpetual Seed","0","2025-06-04","04:29:00","https://dn721202.ca.archive.org/0/items/perpetual-seed/Perpetual%20Seed.png","https://dn721202.ca.archive.org/0/items/perpetual-seed/Perpetual%20Seed.mp3","https://www.youtube.com/watch?v=YKOqZEkdgd8"
"Echoes","0","2025-06-11","03:04:00","https://ia800706.us.archive.org/5/items/echoes_202506/Echoes.png","https://ia600706.us.archive.org/5/items/echoes_202506/Echoes.mp3","https://www.youtube.com/watch?v=GLz1HhQ3zL0"
"White Hat","0","2025-06-18","03:38:00","https://dn721603.ca.archive.org/0/items/white-hat_202506/White%20Hat.png","https://dn721603.ca.archive.org/0/items/white-hat_202506/White%20Hat.mp3","https://www.youtube.com/watch?v=2elxFjRtSHU"
"Evermore","10","2025-06-25","05:08:00","https://archive.org/download/Evermore/Evermore.png","https://ia800908.us.archive.org/9/items/Evermore/Evermore.mp3","https://www.youtube.com/@DJ--AZERTY"
"Timeless","0","2025-07-02","03:39:00","https://ia600205.us.archive.org/0/items/timeless_202506/Timeless.png","https://ia600205.us.archive.org/0/items/timeless_202506/Timeless.mp3","https://www.youtube.com/@DJ--AZERTY"
"Electromatix","4","2025-07-09","04:07:00","https://archive.org/download/Electromatix/Electromatix.png","https://dn721801.ca.archive.org/0/items/Electromatix/Electromatix.mp3","https://www.youtube.com/@DJ--AZERTY"
"Echoes V.Reworked","0","2025-07-16","03:48:00","https://ia800706.us.archive.org/5/items/echoes_202506/Echoes.png","https://ia800706.us.archive.org/5/items/echoes_202506/Echoes%20%28Reworked%29.mp3","https://www.youtube.com/@DJ--AZERTY"
"Only For You","10","2025-07-23","03:20:00","https://ia600409.us.archive.org/31/items/only-for-you_202506/Only%20for%20You.png","https://ia600409.us.archive.org/31/items/only-for-you_202506/Only%20for%20You.mp3","https://www.youtube.com/@DJ--AZERTY"
"Neon Mirage","0","2025-07-30","05:22:00","https://dn721308.ca.archive.org/0/items/neon-mirage/Neon%20Mirage.png","https://dn721308.ca.archive.org/0/items/neon-mirage/Neon%20Mirage.mp3","https://www.youtube.com/@DJ--AZERTY"
"Gravity Shift V.Reworked","0","2025-08-06","03:05:00","https://ia600800.us.archive.org/16/items/gravity-shift/Gravity%20Shift.png","https://ia600800.us.archive.org/16/items/gravity-shift/Gravity%20Shift%20%28Reworked%29.mp3","https://www.youtube.com/@DJ--AZERTY"
"Awakened Mind","0","2025-08-13","03:39:00","https://ia600600.us.archive.org/23/items/awakened-mind/Awakened%20Mind.png","https://ia600600.us.archive.org/23/items/awakened-mind/Awakened%20Mind.mp3","https://www.youtube.com/@DJ--AZERTY"
"Exo Junction","0","2025-08-20","03:19:00","https://ia601204.us.archive.org/19/items/exo-junction/Exo%20Junction.png","https://ia601204.us.archive.org/19/items/exo-junction/Exo%20Junction.mp3","https://www.youtube.com/@DJ--AZERTY"
"Timeless V.Reworked","0","2025-08-27","03:39:00","https://ia600205.us.archive.org/0/items/timeless_202506/Timeless.png","https://ia600205.us.archive.org/0/items/timeless_202506/Timeless%20%28Reworked%29.mp3","https://www.youtube.com/@DJ--AZERTY"
"Lost In Your Fire","0","2025-09-03","03:22:00","https://archive.org/download/lost-in-your-fire/Lost%20In%20Your%20Fire.png","https://archive.org/download/lost-in-your-fire/Lost%20in%20Your%20Fire.mp3","https://www.youtube.com/@DJ--AZERTY"
"Shadow's Heroes","0","2025-09-10","03:08:00","https://archive.org/download/shadows-heroes/Shadow's%20Heroes.png","https://archive.org/download/shadows-heroes/Shadow%27s%20Heroes.mp3","https://www.youtube.com/@DJ--AZERTY"
"Awakened Mind V.English","0","2025-09-17","04:00:00","https://ia600600.us.archive.org/23/items/awakened-mind/Awakened%20Mind.png","https://archive.org/download/awakened-mind/Awakened%20Mind%20VA.mp3","https://www.youtube.com/@DJ--AZERTY"
